0,6.103515625e-05
1,6.103515625e-05
2,3.0517578125e-05
3,6.103515625e-05
4,1.52587890625e-05
5,1.52587890625e-05
6,3.0517578125e-05
7,3.0517578125e-05
8,3.0517578125e-05
9,3.0517578125e-05
10,1.52587890625e-05
11,1.52587890625e-05
12,3.0517578125e-05
13,1.52587890625e-05
14,1.52587890625e-05
15,3.814697265625e-06
16,1.52587890625e-05
17,3.0517578125e-05
18,9.1552734375e-05
19,1.52587890625e-05
20,3.0517578125e-05
21,7.62939453125e-06
22,7.62939453125e-06
23,1.52587890625e-05
24,6.103515625e-05
25,1.1444091796875e-05
26,1.52587890625e-05
27,3.814697265625e-06
28,7.62939453125e-06
29,7.62939453125e-06
30,1.9073486328125e-06
31,1.9073486328125e-06
32,1.52587890625e-05
33,7.62939453125e-06
34,7.62939453125e-06
35,7.62939453125e-06
36,1.9073486328125e-06
37,3.814697265625e-06
38,7.62939453125e-06
39,1.52587890625e-05
40,3.814697265625e-06
41,7.62939453125e-06
42,1.52587890625e-05
43,1.1444091796875e-05
44,7.62939453125e-06
45,3.814697265625e-06
46,3.0517578125e-05
47,3.0517578125e-05
48,3.814697265625e-06
49,3.814697265625e-06
50,3.814697265625e-06
51,3.814697265625e-06
52,1.52587890625e-05
53,3.814697265625e-06
54,1.9073486328125e-06
55,7.62939453125e-06
56,7.62939453125e-06
57,6.103515625e-05
58,7.62939453125e-06
59,3.0517578125e-05
60,1.52587890625e-05
61,3.814697265625e-06
62,5.7220458984375e-06
63,3.814697265625e-06
64,3.814697265625e-06
65,1.52587890625e-05
66,7.62939453125e-06
67,7.62939453125e-06
68,7.62939453125e-06
69,1.52587890625e-05
70,3.0517578125e-05
71,3.814697265625e-06
72,7.62939453125e-06
73,3.814697265625e-06
74,3.814697265625e-06
75,3.0517578125e-05
76,7.62939453125e-06
77,1.52587890625e-05
78,1.52587890625e-05
79,7.62939453125e-06
80,1.52587890625e-05
81,7.62939453125e-06
82,3.814697265625e-06
83,7.62939453125e-06
84,4.57763671875e-05
85,3.814697265625e-06
86,3.814697265625e-06
87,1.52587890625e-05
88,1.52587890625e-05
89,3.814697265625e-06
90,3.814697265625e-06
91,3.814697265625e-06
92,1.52587890625e-05
93,3.814697265625e-06
94,7.62939453125e-06
95,7.62939453125e-06
96,7.62939453125e-06
97,1.52587890625e-05
98,7.62939453125e-06
99,7.62939453125e-06
100,3.814697265625e-06
101,3.814697265625e-06
102,1.9073486328125e-06
103,1.9073486328125e-06
104,1.52587890625e-05
105,7.62939453125e-06
106,1.9073486328125e-06
107,1.52587890625e-05
108,7.62939453125e-06
109,7.62939453125e-06
110,7.62939453125e-06
111,1.1444091796875e-05
112,7.62939453125e-06
113,3.814697265625e-06
114,7.62939453125e-06
115,3.0517578125e-05
116,3.0517578125e-05
117,3.814697265625e-06
118,7.62939453125e-06
119,1.9073486328125e-06
120,5.7220458984375e-06
121,3.0517578125e-05
122,3.814697265625e-06
123,7.62939453125e-06
124,7.62939453125e-06
125,3.0517578125e-05
126,3.814697265625e-06
127,3.814697265625e-06
128,7.62939453125e-06
129,1.52587890625e-05
130,3.814697265625e-06
131,1.1444091796875e-05
132,7.62939453125e-06
133,3.814697265625e-06
134,1.9073486328125e-06
135,3.0517578125e-05
136,7.62939453125e-06
137,1.52587890625e-05
138,3.814697265625e-06
139,3.814697265625e-06
140,7.62939453125e-06
141,1.52587890625e-05
142,1.1444091796875e-05
143,3.814697265625e-06
144,1.52587890625e-05
145,3.0517578125e-05
146,7.62939453125e-06
147,7.62939453125e-06
148,3.814697265625e-06
149,3.0517578125e-05
150,1.52587890625e-05
151,3.814697265625e-06
152,7.62939453125e-06
153,1.52587890625e-05
154,3.814697265625e-06
155,3.814697265625e-06
156,1.9073486328125e-06
157,7.62939453125e-06
158,3.0517578125e-05
159,7.62939453125e-06
160,4.76837158203125e-06
161,3.0517578125e-05
162,3.814697265625e-06
163,1.52587890625e-05
164,3.814697265625e-06
165,1.52587890625e-05
166,1.1444091796875e-05
167,3.814697265625e-06
168,7.62939453125e-06
169,3.814697265625e-06
170,3.0517578125e-05
171,2.86102294921875e-06
172,3.814697265625e-06
